,Race,Sex,Age,Occupation,Year,Male,B
2433,B,M,24,Laborer,1920,1,1
2434,B,F,38,Laundress,1920,0,1
2435,B,F,19,Laundress,1920,0,1
2437,B,M,20,Laborer,1920,1,1
2438,B,M,19,Porter,1920,1,1
2439,B,M,25,Driver,1920,1,1
2440,B,F,21,Laundress,1920,0,1
2441,B,F,41,Laundress,1920,0,1
2442,B,M,27,Driver,1920,1,1
2443,B,M,22,Laborer,1920,1,1
2444,B,F,23,Counter At Laundry,1920,0,1
2445,B,F,34,Maid,1920,0,1
2446,B,M,55,Repairman At Street Car Co,1920,1,1
2447,B,M,43,Checker At Rr Freight,1920,1,1
2449,B,F,38,Laundress,1920,0,1
2450,B,M,29,Driver,1920,1,1
2451,B,F,25,Seamstress,1920,0,1
2455,B,M,19,Driver,1920,1,1
2456,B,F,58,Laundress,1920,0,1
2457,B,F,30,Sorter At Commission House,1920,0,1
2459,B,M,39,Manager,1920,1,1
2460,B,M,24,Laborer,1920,1,1
2461,B,F,27,Laundress,1920,0,1
2464,B,M,20,Laborer,1920,1,1
2466,B,F,10,Nurse,1920,0,1
2467,B,M,13,Seller At Junk Co,1920,1,1
2468,B,M,21,Driver,1920,1,1
2469,B,F,19,Laundress,1920,0,1
2470,B,M,32,Laborer,1920,1,1
2475,B,F,39,Seamstress,1920,0,1
2476,B,F,61,Laundress,1920,0,1
2477,B,M,68,Cleaner,1920,1,1
2478,B,M,64,Digger At Dirty Streets,1920,1,1
2479,B,F,54,Laundress,1920,0,1
2480,B,F,51,Laundress,1920,0,1
2481,B,F,26,Social Worker Colored Settlement,1920,0,1
2482,B,F,25,Nurse,1920,0,1
2484,B,M,46,Bricklayer,1920,1,1
2485,B,F,47,Laundress,1920,0,1
2486,B,M,26,Junk Dealer At City Dump,1920,1,1
2487,B,F,19,Seamstress,1920,0,1
2491,B,M,25,Porter,1920,1,1
2492,B,F,26,Maid,1920,0,1
2494,B,M,24,Laborer,1920,1,1
2495,B,F,29,Laundress,1920,0,1
2496,B,F,38,Laundress,1920,0,1
2497,B,F,20,Laundress,1920,0,1
2498,B,M,14,Driver,1920,1,1
2499,B,M,18,Assistant,1920,1,1
2500,B,F,38,Cook,1920,0,1
2501,B,F,28,Owner of Business,1920,0,1
2503,B,M,25,Bakery At Shop,1920,1,1
2504,B,M,42,Laborer,1920,1,1
2506,B,F,40,Maid,1920,0,1
2507,B,M,26,Driver,1920,1,1
2508,B,M,36,Owner of Business,1920,1,1
2513,B,F,27,Seamstress,1920,0,1
2514,B,M,31,Chauffeur,1920,1,1
2515,B,M,21,Laborer,1920,1,1
2517,B,F,42,Washwoman,1920,0,1
2519,B,M,60,Grave Digger At Cemetary Co,1920,1,1
2520,B,M,33,Laborer,1920,1,1
2521,B,F,22,Cook,1920,0,1
2522,B,F,40,Cook,1920,0,1
2526,B,M,50,Laborer,1920,1,1
2527,B,F,36,Washwoman,1920,0,1
2531,B,M,28,Owner of Business,1920,1,1
2532,B,F,28,Hairdresser At Home,1920,0,1
2533,B,F,34,Washwoman,1920,0,1
2534,B,M,20,Assistant,1920,1,1
2535,B,F,19,Cook,1920,0,1
2536,B,F,30,Cook,1920,0,1
2537,B,M,47,Assistant,1920,1,1
2538,B,M,43,Plumber Help At Plumbing Co,1920,1,1
2541,B,F,46,Laundress,1920,0,1
2542,B,M,36,Laborer,1920,1,1
2548,B,M,63,Bricklayer,1920,1,1
2549,B,M,33,Hauling At Wood,1920,1,1
2550,B,F,23,Laundress,1920,0,1
2551,B,M,14,Junk Seller At City Dump,1920,1,1
2552,B,M,50,Driver,1920,1,1
2553,W,M,35,Superintendent City Detention Camp,1920,1,0
2555,B,M,30,Laborer,1920,1,1
2558,B,M,50,Waitress,1920,1,1
2560,B,M,32,Laborer,1920,1,1
2562,B,M,28,Laborer,1920,1,1
2563,B,F,24,Cook,1920,0,1
2566,B,F,46,Laundress,1920,0,1
2567,B,F,38,Laundress,1920,0,1
2568,B,M,50,Junk Seller At City Dump,1920,1,1
2569,B,M,30,Farmer At Cotton And Corn,1920,1,1
2570,B,F,37,Washwoman,1920,0,1
2571,B,F,44,Ironer At Laundry,1920,0,1
2572,B,F,28,Ironer At Laundry,1920,0,1
2575,B,M,37,Bricklayer,1920,1,1
2577,B,M,35,Mechanic At Automobile Co,1920,1,1
2578,B,F,38,Dressmaker At Home,1920,0,1
2579,B,F,21,Maid,1920,0,1
2580,B,M,35,Laborer,1920,1,1
2583,B,M,55,Driver,1920,1,1
2584,B,M,60,Sampler At Cotton Co,1920,1,1
2585,B,F,44,Laundress,1920,0,1
2586,B,F,55,Laundress,1920,0,1
2588,B,M,28,Laborer,1920,1,1
2589,B,F,27,Domestic Help At Private Families,1920,0,1
2591,B,M,26,Chauffeur,1920,1,1
2592,B,F,21,Help At Domestic,1920,0,1
2595,B,F,26,Maid,1920,0,1
2597,B,M,23,Laborer,1920,1,1
2598,B,F,63,None ,1920,0,1
2599,B,F,23,Laundress,1920,0,1
2601,B,M,26,Laborer,1920,1,1
2604,B,F,40,Laundress,1920,0,1
2606,B,M,54,Laborer,1920,1,1
2607,B,F,49,Laundress,1920,0,1
2608,B,F,38,Laundress,1920,0,1
2609,B,M,38,Laborer,1920,1,1
2614,B,M,24,Porter,1920,1,1
2615,B,F,26,Maid,1920,0,1
2617,B,M,68,Yardman At Private Families ,1920,1,1
2618,B,M,44,Laborer,1920,1,1
2619,B,F,43,Laundress,1920,0,1
2620,B,F,21,Laundress,1920,0,1
2623,B,M,74,Janitor,1920,1,1
2624,B,F,74,Laundress,1920,0,1
2625,B,M,50,Driver,1920,1,1
2627,B,M,13,Shiner At Shoes,1920,1,1
2628,B,M,24,Porter,1920,1,1
2629,B,F,21,Laundress,1920,0,1
2630,B,M,29,Laborer,1920,1,1
2631,B,F,26,Cook,1920,0,1
2635,B,F,44,Domestic Work Private Families,1920,0,1
2636,B,F,25,Seamstress,1920,0,1
2637,B,F,36,Washwoman,1920,0,1
2638,B,M,32,Mechanic At Sugar Refinery,1920,1,1
2639,B,F,49,Laundress,1920,0,1
2640,B,M,24,Porter,1920,1,1
2643,B,M,57,Barber,1920,1,1
2647,B,M,51,Driver,1920,1,1
2648,B,M,26,Chauffeur,1920,1,1
2650,B,F,37,Washwoman,1920,0,1
2651,B,F,22,Maid,1920,0,1
2652,B,F,48,Washwoman,1920,0,1
2653,B,M,30,Janitor,1920,1,1
2655,B,M,22,Laborer,1920,1,1
2656,B,M,60,Laborer,1920,1,1
2657,B,F,27,Dressmaker At Home,1920,0,1
2658,B,M,35,Teamster Grocery Co,1920,1,1
2659,B,M,29,Chauffeur,1920,1,1
2660,B,F,23,Cook,1920,0,1
2663,B,M,30,Chauffeur,1920,1,1
2664,B,F,29,Owner of Business,1920,0,1
2665,B,F,34,Cook,1920,0,1
2667,B,M,20,Dishwasher At Restaurant,1920,1,1
2668,B,M,21,Cook,1920,1,1
2669,B,M,36,Cook,1920,1,1
2670,B,M,30,Driver,1920,1,1
2671,B,F,30,Cook,1920,0,1
2672,B,F,31,Maid,1920,0,1
2673,B,F,47,Domestic At Private Families,1920,0,1
2674,B,M,33,Owner of Business,1920,1,1
2678,B,F,50,Washwoman,1920,0,1
2679,B,M,20,Chauffeur,1920,1,1
2680,B,F,30,Washwoman,1920,0,1
2681,B,M,30,Driver,1920,1,1
2682,B,F,30,Washwoman,1920,0,1
2683,B,M,24,Waitress,1920,1,1
2684,B,M,23,Fireman At Stat. Boiler,1920,1,1
2686,B,M,50,Barber,1920,1,1
2688,B,F,25,Cook,1920,0,1
2689,B,M,29,Porter,1920,1,1
2690,B,M,27,Tailor At Mens Tailoring ,1920,1,1
2693,B,M,40,Laborer,1920,1,1
2694,B,F,34,Laundress,1920,0,1
2695,B,M,15,Bootblack At Shoe Shop,1920,1,1
2700,B,M,47,Yardman At Private Families ,1920,1,1
2701,B,F,36,Washwoman,1920,0,1
2704,B,F,35,Cook,1920,0,1
2707,B,F,48,Laundress,1920,0,1
2708,B,M,70,Yardman At Private Families ,1920,1,1
2709,B,M,30,Laborer,1920,1,1
2710,B,M,27,Renter At Farm,1920,1,1
2716,B,M,47,Laborer,1920,1,1
2719,B,F,37,Washwoman,1920,0,1
2722,B,F,15,Housegirl At Private Family,1920,0,1
2723,B,F,29,Laborer,1920,0,1
2725,B,F,25,Cleaner,1920,0,1
2726,B,M,21,Porter,1920,1,1
2729,B,M,25,Laborer,1920,1,1
2730,B,M,29,Laborer,1920,1,1
2731,B,M,27,Chauffeur,1920,1,1
2732,B,F,18,Waitress,1920,0,1
2734,B,F,45,Nurse,1920,0,1
2735,B,M,29,Assistant,1920,1,1
2738,B,F,33,Cook,1920,0,1
2739,B,F,27,Dressmaker At Home,1920,0,1
2740,B,M,32,Cook,1920,1,1
2741,B,M,25,Laborer,1920,1,1
2742,B,F,22,Cook,1920,0,1
2743,B,M,21,Laborer,1920,1,1
2744,B,F,26,Folder At Laundry,1920,0,1
2745,B,F,28,Maid,1920,0,1
2746,B,M,37,Laborer,1920,1,1
2747,B,F,62,Washwoman,1920,0,1
2748,B,M,54,Plaster Help At Buildings,1920,1,1
2750,B,M,19,Porter,1920,1,1
2751,B,M,16,Driver,1920,1,1
2752,B,M,14,Bootblack At Shin. Parlor,1920,1,1
2753,B,M,12,Bootblack At Shin. Parlor,1920,1,1
2756,B,M,27,Laborer,1920,1,1
2757,B,M,25,Laborer,1920,1,1
2758,B,F,25,Maid,1920,0,1
2761,B,F,56,Laundress,1920,0,1
2762,B,F,32,Laundress,1920,0,1
2764,B,M,17,Laborer,1920,1,1
2765,B,F,28,Cook,1920,0,1
2768,B,M,18,Laborer,1920,1,1
2769,B,M,17,Laborer,1920,1,1
2770,B,M,49,Porter,1920,1,1
2771,B,F,36,Owner of Business,1920,0,1
2772,B,M,15,Chauffeur,1920,1,1
2776,B,M,24,Laborer,1920,1,1
2779,B,M,38,Laborer,1920,1,1
2780,B,M,36,Brakeman At Freight Trains,1920,1,1
2781,B,F,38,Washwoman,1920,0,1
2782,B,M,20,Laborer,1920,1,1
2783,B,F,23,Pantry Girl At Board. House,1920,0,1
2784,B,F,38,Laundress,1920,0,1
2785,B,M,12,Messenger At Country Club,1920,1,1
2790,B,F,50,Laundress,1920,0,1
2791,B,M,27,Laborer,1920,1,1
2792,B,F,28,Seamstress,1920,0,1
2794,B,M,37,Farmer At Cotton And Corn,1920,1,1
2796,B,F,24,Laundress,1920,0,1
2797,B,M,29,Laborer,1920,1,1
2798,B,M,28,Laborer,1920,1,1
2799,B,F,26,Maid,1920,0,1
2801,B,M,18,Waitress,1920,1,1
2802,B,M,38,Laborer,1920,1,1
2805,B,F,22,Cook,1920,0,1
2807,B,F,18,Waitress,1920,0,1
2810,B,M,29,Laborer,1920,1,1
2811,B,F,27,Laundress,1920,0,1
2814,B,F,26,Domestic At Private Families,1920,0,1
2817,B,F,49,Cook,1920,0,1
2819,B,M,48,Renter At Farm,1920,1,1
2820,B,M,62,Laborer,1920,1,1
2822,B,M,21,Labor At Farm,1920,1,1
2823,B,M,32,Hauling At Private Families,1920,1,1
2825,B,M,28,Laborer,1920,1,1
2826,B,M,25,Laborer,1920,1,1
2827,B,M,25,Laborer,1920,1,1
2828,B,M,26,Teamster At Hauling Co,1920,1,1
2829,B,M,31,Laborer,1920,1,1
2831,B,M,29,Chauffeur,1920,1,1
2832,B,F,27,Manager,1920,0,1
2834,B,M,28,Actor At Traveling Show,1920,1,1
2835,B,M,32,Actor At Traveling Show,1920,1,1
2836,B,F,26,Nurse,1920,0,1
2838,B,M,28,Waitress,1920,1,1
2840,B,M,42,Machinist Help At Railway Shops,1920,1,1
2841,B,F,44,Laundress,1920,0,1
2842,B,M,23,Laborer,1920,1,1
2843,B,M,45,Porter,1920,1,1
2844,B,F,35,Laundress,1920,0,1
2845,B,M,25,Fireman At Furniture Store,1920,1,1
2846,B,M,32,Laborer,1920,1,1
2847,B,F,27,Folder At Laundry,1920,0,1
2850,B,F,48,Laundress,1920,0,1
2851,B,M,25,Laborer,1920,1,1
2852,B,M,65,Carpenter,1920,1,1
2854,B,M,37,Teamster Contractor At Buildings,1920,1,1
2856,B,M,28,Laborer,1920,1,1
2857,B,F,25,Cook,1920,0,1
2858,B,M,38,Pipe Filler At Railway Shops,1920,1,1
2860,B,M,31,Waitress,1920,1,1
2865,B,M,32,Boilermaker At Railway Shops,1920,1,1
2867,B,M,54,Express Man At Baggage,1920,1,1
2868,B,M,42,Upholsterer At Furniture Co.,1920,1,1
2869,B,F,34,Laundress,1920,0,1
2870,B,M,17,Driver,1920,1,1
2872,B,M,26,Driver,1920,1,1
2873,B,M,35,Porter,1920,1,1
2876,B,M,50,Waitress,1920,1,1
2877,B,M,24,Porter,1920,1,1
2878,B,M,20,Porter,1920,1,1
2881,B,M,30,Fillman At Laundry,1920,1,1
2887,B,M,40,Laborer,1920,1,1
2888,B,F,28,Laundress,1920,0,1
2889,B,M,10,Domestic At Private Family,1920,1,1
2893,B,M,39,Finisher At Cement Walks Co.,1920,1,1
2894,B,F,39,Laundress,1920,0,1
2895,B,F,42,Laundress,1920,0,1
2896,B,M,35,Laborer,1920,1,1
2897,B,F,30,Laundress,1920,0,1
2898,B,M,49,Laborer,1920,1,1
2900,W,M,26,Carman At Railway ,1920,1,0
2901,W,F,25,Seamstress,1920,0,0
2902,W,F,32,Maid,1920,0,0
2903,B,F,33,Maid,1920,0,1
2905,B,M,30,Laborer,1920,1,1
2913,W,M,38,Machinist At Oil Supply Co,1920,1,0
2915,B,F,27,Presser,1920,0,1
2916,B,M,29,Laborer,1920,1,1
2917,B,M,23,Laborer,1920,1,1
2919,B,M,70,Driver,1920,1,1
2920,B,M,25,Porter,1920,1,1
2921,B,F,20,Cook,1920,0,1
2922,B,F,25,Washwoman,1920,0,1
2923,B,M,30,Driver,1920,1,1
2924,B,F,29,Domestic At Hotel,1920,0,1
2925,B,M,18,Elevator Man At Hotel,1920,1,1
2926,B,M,16,Porter,1920,1,1
2927,B,F,53,Domestic At Private Families,1920,0,1
2928,B,M,33,Driver,1920,1,1
2930,B,F,18,Maid,1920,0,1
2931,B,F,22,Ironer At Laundry,1920,0,1
2934,B,M,32,Laborer,1920,1,1
2935,B,F,30,Cook,1920,0,1
2936,B,F,30,Domestic At Private Families,1920,0,1
2938,B,F,33,Cook,1920,0,1
2939,B,M,35,Laborer,1920,1,1
2940,B,F,38,Maid,1920,0,1
2944,B,M,14,Bootblack At Shine Stand,1920,1,1
2945,B,M,23,Laborer,1920,1,1
2946,B,F,23,Domestic At Private Families,1920,0,1
2947,B,M,64,Laborer,1920,1,1
2948,B,F,25,Mender At Laundry,1920,0,1
2950,B,M,59,Laborer,1920,1,1
2951,B,F,46,Laundress,1920,0,1
2952,B,M,30,Laborer,1920,1,1
2953,B,M,65,Laboerer At Oil Refinery,1920,1,1
2954,B,F,45,Washwoman,1920,0,1
2956,B,M,27,Laborer,1920,1,1
2958,B,F,24,Waitress,1920,0,1
2959,B,F,24,Cook,1920,0,1
2960,B,F,24,Cook,1920,0,1
2961,B,M,46,Cook,1920,1,1
2962,B,M,33,Cook,1920,1,1
2963,B,M,27,Laborer,1920,1,1
2965,B,M,11,Delivery Boy At Drugstore,1920,1,1
2968,B,M,36,Chauffeur,1920,1,1
2970,B,M,27,Laborer,1920,1,1
2971,B,F,47,Maid,1920,0,1
2972,B,M,16,Teamster At Ice Co,1920,1,1
2973,B,M,35,Assistant,1920,1,1
2974,B,F,32,Cleaner,1920,0,1
2975,B,M,27,Waitress,1920,1,1
2976,B,M,35,Teamster At Gen. Hauling,1920,1,1
2977,B,F,33,Laundress,1920,0,1
2978,B,M,38,Laborer,1920,1,1
2979,B,M,22,Laborer,1920,1,1
2980,B,F,25,Washwoman,1920,0,1
2981,W,M,33,Detective At Hotel,1920,1,0
2983,W,M,24,Tailor At Hotel,1920,1,0
2984,W,M,39,Sheet Metal Worker At Tin Shop,1920,1,0
2988,B,M,34,Longshoreman At Ship Channel,1920,1,1
2990,B,M,33,Laborer,1920,1,1
2992,B,F,43,Laundress,1920,0,1
2993,W,M,37,Baker At Bakershop,1920,1,0
2994,W,F,48,Waitress,1920,0,0
2995,W,M,31,Clerk,1920,1,0
2997,B,M,20,Laborer,1920,1,1
2998,B,F,26,Cleaner,1920,0,1
2999,B,M,22,Chauffeur,1920,1,1
3000,B,M,29,Teamster At Road Building,1920,1,1
3001,B,M,19,Porter,1920,1,1
3002,B,M,24,Porter,1920,1,1
3004,B,M,20,Chauffeur,1920,1,1
3005,B,M,70,Barber,1920,1,1
3006,B,M,27,Laborer,1920,1,1
3007,B,M,28,Laborer,1920,1,1
3008,B,M,40,Waitress,1920,1,1
3009,B,M,62,Yardman At Private Families,1920,1,1
3011,B,M,29,Laborer,1920,1,1
3012,B,M,18,Laborer,1920,1,1
3013,B,M,23,Teamster At Hauling Co,1920,1,1
3014,W,M,35,Laundry Man At Laundry,1920,1,0
3015,B,F,22,Cook,1920,0,1
3016,B,M,26,Laborer,1920,1,1
3017,B,M,27,Porter,1920,1,1
3018,B,M,23,Teamster At Us Camp,1920,1,1
3019,B,F,23,Dressmaker At Home,1920,0,1
3020,B,M,27,Bellboy At Hotel,1920,1,1
3021,B,M,17,Laborer,1920,1,1
3022,W,M,29,Shoemaker At Shoeshop,1920,1,0
3023,W,M,29,Driver,1920,1,0
3026,W,M,53,Merchantdraftsman At Iron Foundry,1920,1,0
3027,W,M,19,Laborer,1920,1,0
3028,W,M,36,Clerk,1920,1,0
3029,W,F,31,Clerk,1920,0,0
3030,W,M,69,Farmer At Cotton And Corn,1920,1,0
3032,B,F,82,Maid,1920,0,1
3033,B,M,62,Houseman At Private Family,1920,1,1
3034,B,M,19,Laborer,1920,1,1
3035,W,M,39,Owner of Business,1920,1,0
3040,W,M,36,Carpenter,1920,1,0
3046,B,M,32,Owner of Business,1920,1,1
3047,B,F,36,Manager,1920,0,1
3049,B,F,19,Cook,1920,0,1
3050,B,F,19,Waitress,1920,0,1
3051,B,M,39,Cook,1920,1,1
3052,B,M,46,Cook,1920,1,1
3053,B,F,37,Kitchen Help At Hotel,1920,0,1
3058,B,F,24,Cook,1920,0,1
3059,B,M,39,Laborer,1920,1,1
3060,B,M,35,Porter,1920,1,1
3061,B,M,31,Waitress,1920,1,1
3063,B,M,35,Cook,1920,1,1
3064,B,M,38,Porter,1920,1,1
3065,B,F,35,Laundress,1920,0,1
3066,B,M,8,Delivery Boy At Drug Store,1920,1,1
3067,B,F,12,Nurse,1920,0,1
3070,B,F,43,Manager,1920,0,1
3071,B,F,39,Cook,1920,0,1
3072,B,M,44,Laborer,1920,1,1
3073,B,M,29,Laborer,1920,1,1
3074,B,M,31,Porter,1920,1,1
3075,B,M,35,Chauffeur,1920,1,1
3077,B,M,22,Porter,1920,1,1
3078,B,M,37,Repairman At Rroad Co,1920,1,1
3079,B,M,17,Driver,1920,1,1
3080,B,F,49,Washwoman,1920,0,1
3081,B,F,23,General Help At Private Family,1920,0,1
3082,B,F,20,General Help At Private Family,1920,0,1
3083,B,M,26,Porter,1920,1,1
3084,B,M,18,Driver,1920,1,1
3085,B,M,16,Delivery Boy At Drug Store,1920,1,1
3086,B,M,55,Dyeman At Laundry,1920,1,1
3087,B,F,32,Beauty Work At Private Families,1920,0,1
3088,B,M,21,Chauffeur,1920,1,1
3089,B,F,24,Hairdresser At Private Families,1920,0,1
3090,B,M,37,Laborer,1920,1,1
3091,B,M,42,Foreman At Automobile Laundry,1920,1,1
3092,B,F,44,Laundress,1920,0,1
3093,W,M,40,Foreman At Sweeping Gang For City,1920,1,0
3094,B,M,38,Laborer,1920,1,1
3095,B,F,30,Laundress,1920,0,1
3096,B,M,17,Laborer,1920,1,1
3097,B,F,18,Cook,1920,0,1
3098,B,M,48,Longshoreman At Ship Channel,1920,1,1
3099,B,F,46,Laundress,1920,0,1
3100,B,F,22,Cook,1920,0,1
3102,B,F,18,Laundress,1920,0,1
3103,B,F,38,Owner of Business,1920,0,1
3104,B,M,66,Laborer,1920,1,1
3106,B,M,21,Laborer,1920,1,1
3107,B,M,19,Mechanic At Garage,1920,1,1
3108,B,M,36,Laborer,1920,1,1
3109,B,F,35,Laundress,1920,0,1
3113,B,M,25,Driver,1920,1,1
3115,B,M,61,Laborer,1920,1,1
3116,B,M,18,Laborer,1920,1,1
3117,B,M,30,Laborer,1920,1,1
3118,B,M,25,Help At Restaurant,1920,1,1
3119,B,M,30,Laborer,1920,1,1
3120,B,F,48,Help At Laundry,1920,0,1
3121,B,F,22,Pantry Girl At Restaurant,1920,0,1
3122,B,F,20,Presser,1920,0,1
3124,B,F,23,Maid,1920,0,1
3125,B,F,23,Maid,1920,0,1
3126,B,M,23,Laborer,1920,1,1
3127,B,M,79,Owner of Business,1920,1,1
3128,B,F,33,Dressmaker At Home,1920,0,1
3129,B,F,23,Cook,1920,0,1
3130,B,M,30,Waitress,1920,1,1
3131,B,M,31,Contractor At Electrical Work,1920,1,1
3132,B,M,34,Baker At Bakery,1920,1,1
3133,B,F,34,Maid,1920,0,1
3134,B,M,29,Laborer,1920,1,1
3135,B,M,31,Laborer,1920,1,1
3136,B,F,34,Maid,1920,0,1
3137,B,F,65,Laundress,1920,0,1
3138,B,M,27,Brakeman At Rr Freight Co,1920,1,1
3139,B,M,18,Mechanic At Garage,1920,1,1
3140,B,M,19,Presser,1920,1,1
3141,B,M,26,Laborer,1920,1,1
3142,B,M,35,Laborer,1920,1,1
3143,B,M,34,Driver,1920,1,1
3144,B,F,27,Waitress,1920,0,1
3146,B,F,39,Cook,1920,0,1
3147,B,M,14,Bootblack At His Own Stand,1920,1,1
3148,B,M,52,Yardman At Private Families,1920,1,1
3149,B,M,47,Cook,1920,1,1
3150,B,M,22,Chauffeur,1920,1,1
3151,B,M,29,Laborer,1920,1,1
3152,B,M,44,Laborer,1920,1,1
3153,B,F,34,Ironer At Laundry,1920,0,1
3155,B,M,34,Mechanic At Automobile Co,1920,1,1
3156,B,F,22,Stenographer At Office,1920,0,1
3158,B,M,21,Operator At Moving Picture Machine,1920,1,1
3159,B,M,23,Laborer,1920,1,1
3160,B,M,46,Laborer,1920,1,1
3161,B,M,16,Delivery Boy At Grocery Store,1920,1,1
3165,B,M,30,Driver,1920,1,1
3166,B,F,26,Laundress,1920,0,1
3167,B,M,16,Driver,1920,1,1
3168,B,M,40,Laborer,1920,1,1
3169,B,F,35,Laundress,1920,0,1
3171,B,M,15,Laborer,1920,1,1
3172,B,M,37,Laborer,1920,1,1
3176,B,F,42,Laundress,1920,0,1
3177,B,M,38,Laborer,1920,1,1
3179,B,M,15,Assistant,1920,1,1
3181,B,M,25,Bricklayer,1920,1,1
3182,B,F,25,Laundress,1920,0,1
3183,B,M,23,Laborer,1920,1,1
3184,W,M,24,Manager,1920,1,0
3188,W,M,30,Manager,1920,1,0
3191,W,M,22,Laborer,1920,1,0
3194,W,M,50,Saddler At Saddlery,1920,1,0
3197,B,M,36,Cook,1920,1,1
3198,B,F,26,Cook,1920,0,1
3200,W,F,54,Seamstress,1920,0,0
3202,W,M,22,Teller At Bank,1920,1,0
3205,W,M,47,Proprietor At Mattress Factory,1920,1,0
3206,W,M,23,Salesman At Mattress Co,1920,1,0
3207,W,F,34,Hairdresser At Private Families,1920,0,0
3209,B,M,36,Assistant,1920,1,1
3210,B,F,36,Laundress,1920,0,1
3211,B,M,37,Operator Of Turning Table At Railway Shop,1920,1,1
3212,B,M,33,Hoster At Railway Shop,1920,1,1
3218,B,F,23,Maid,1920,0,1
3219,B,M,39,Laborer,1920,1,1
3221,B,F,19,Cook,1920,0,1
3222,B,M,26,Porter,1920,1,1
3223,B,M,20,Chauffeur,1920,1,1
3225,B,F,27,Superintendent At Home For Delinquent Girls,1920,0,1
3226,B,F,42,Teacher At Public School,1920,0,1
3238,B,M,35,Plumber At Plumbing Co,1920,1,1
3241,B,M,28,Waitress,1920,1,1
3242,B,F,20,Cook,1920,0,1
3243,B,M,28,Laborer,1920,1,1
3244,B,F,20,Handwork At Laundry,1920,0,1
3245,B,M,39,Tire Changer At Auto Tire Co,1920,1,1
3248,W,M,45,Blacksmith At Own Shop,1920,1,0
3250,W,M,23,Painter At Auto Painting Co,1920,1,0
3252,W,M,20,Painter At Auto Painting Co,1920,1,0
3255,W,M,21,Laborer,1920,1,0
3256,B,M,20,Laborer,1920,1,1
3257,B,M,18,Laborer,1920,1,1
3258,B,M,49,Teamster At Own Ice Wagon,1920,1,1
3259,B,F,28,Washwoman,1920,0,1
3260,B,M,69,Clerk,1920,1,1
3261,B,M,27,Cook,1920,1,1
3264,B,M,24,Porter,1920,1,1
3265,B,F,28,Cook,1920,0,1
3266,B,M,19,Bus Boy At Hotel,1920,1,1
3267,B,M,18,Bus Boy At Hotel,1920,1,1
3268,B,M,47,Cook,1920,1,1
3269,B,M,22,Teamster At Buildings,1920,1,1
3270,B,F,21,Cook,1920,0,1
3271,B,M,32,Pcoketmaker At Overall Factory,1920,1,1
3273,B,M,40,Baker At Restaurant,1920,1,1
3274,B,F,19,Cook,1920,0,1
3275,B,M,26,Laborer,1920,1,1
3276,B,M,37,Plumbers Help At Construction Co,1920,1,1
3277,B,F,18,Laundry Worker At Laundry,1920,0,1
3278,B,F,22,Dish Washer At Cafe,1920,0,1
3280,B,M,47,Switchman At Railway Co,1920,1,1
3281,B,M,35,Mover At Moving Co,1920,1,1
